data,value
01.01.2019,14.77
02.01.2019,14.83
03.01.2019,16.2
05.01.2019,15.5
06.01.2019,15.16
07.01.2019,16.17
08.01.2019,15.43
09.01.2019,16.18
10.01.2019,16.51
11.01.2019,15.01
12.01.2019,16.14
13.01.2019,16.64
14.01.2019,16.71
17.01.2019,15.98
18.01.2019,15.69
19.01.2019,8.13
20.01.2019,8.8
21.01.2019,9.95
22.01.2019,9.8
23.01.2019,10.57
25.01.2019,10.36
26.01.2019,11.34
27.01.2019,11.65
28.01.2019,12.08
29.01.2019,12.2
30.01.2019,11.83
31.01.2019,12.32
01.02.2019,12.37
02.02.2019,12.4
03.02.2019,13.02
04.02.2019,11.84
05.02.2019,13.13
06.02.2019,12.37
08.02.2019,12.75
10.02.2019,14.28
12.02.2019,14.04
13.02.2019,14.67
15.02.2019,15.52
16.02.2019,14.49
18.02.2019,14.74
19.02.2019,15.99
20.02.2019,14.47
21.02.2019,15.93
22.02.2019,15.2
23.02.2019,16.11
25.02.2019,16.19
26.02.2019,15.89
28.02.2019,16.09
02.03.2019,14.78
03.03.2019,15.64
04.03.2019,8.12
05.03.2019,9.53
06.03.2019,10.72
07.03.2019,10.98
08.03.2019,11.13
10.03.2019,10.53
12.03.2019,12.35
13.03.2019,12.24
14.03.2019,12.44
15.03.2019,12.96
16.03.2019,13.09
17.03.2019,12.8
18.03.2019,13.13
19.03.2019,13.29
20.03.2019,13.01
21.03.2019,11.13
22.03.2019,10.96
23.03.2019,10.76
24.03.2019,11.52
25.03.2019,11.21
26.03.2019,14.58
27.03.2019,14.77
28.03.2019,16.49
29.03.2019,15.52
30.03.2019,15.89
31.03.2019,16.84
01.04.2019,15.84
02.04.2019,16.78
03.04.2019,16.01
04.04.2019,16.26
05.04.2019,17.12
06.04.2019,16.39
07.04.2019,17.2
08.04.2019,15.57
09.04.2019,15.97
10.04.2019,8.55
11.04.2019,9.16
12.04.2019,10.45
13.04.2019,10.95
14.04.2019,11.74
15.04.2019,10.47
16.04.2019,12.59
17.04.2019,12.13
18.04.2019,12.51
19.04.2019,12.63
20.04.2019,12.76
21.04.2019,13.26
22.04.2019,13.46
23.04.2019,13.29
24.04.2019,13.52
25.04.2019,11.49
26.04.2019,12.83
27.04.2019,11.69
28.04.2019,12.46
29.04.2019,13.33
30.04.2019,14.96
01.05.2019,15.12
02.05.2019,16.68
03.05.2019,15.23
04.05.2019,15.48
05.05.2019,16.5
06.05.2019,15.82
07.05.2019,16.52
08.05.2019,16.6
09.05.2019,16.67
10.05.2019,17.14
11.05.2019,16.39
12.05.2019,17.09
13.05.2019,15.51
14.05.2019,16.31
15.05.2019,8.84
16.05.2019,9.59
17.05.2019,10.51
18.05.2019,11.13
19.05.2019,11.15
20.05.2019,11.32
21.05.2019,12.74
22.05.2019,12.77
23.05.2019,13.02
24.05.2019,12.83
25.05.2019,12.72
26.05.2019,13.26
27.05.2019,13.76
28.05.2019,13.54
29.05.2019,13.95
30.05.2019,12
31.05.2019,13.13
01.06.2019,12.01
02.06.2019,12.68
03.06.2019,13.6
